Wavelength,Intensity,Absorbance,Reflectance
901.2151689381436,25769,0.36023998,0.43627468
905.12637172928,29085,0.36029395,0.43622047
909.0333894940095,31923,0.36519256,0.4313278
912.936222232332,35769,0.3597983,0.43671858
916.834869944248,39428,0.3678556,0.42869103
920.729332629757,44014,0.3736137,0.42304477
924.6196102888591,49554,0.37537292,0.42133456
928.5057029215544,56075,0.37706968,0.41969165
932.3876105278429,63172,0.37767795,0.41910422
936.2653331077246,69800,0.38145643,0.41547373
940.1388706611993,76042,0.38428324,0.4127782
945.2970773580885,83612,0.3890656,0.40825772
949.1608498499473,88012,0.39676005,0.40108827
953.0204373153992,92515,0.40345633,0.39495143
956.8758397544445,96465,0.41241348,0.38688913
960.7270571670829,101207,0.41717407,0.38267133
964.5740895533145,106142,0.42139328,0.37897164
968.416936913139,112035,0.42186022,0.37856442
972.2555992465569,117794,0.42329165,0.3773187
976.0900765535679,124862,0.4195852,0.38055268
979.920368834172,131175,0.41805798,0.3818933
983.7464760883694,137492,0.41671902,0.3830725
987.5683983161598,144468,0.4124015,0.3868998
992.6577845788032,153188,0.4067387,0.39197764
996.4699417449776,159265,0.4024912,0.39583007
1000.2779138847454,165258,0.39818278,0.3997765
1004.0817009981063,171179,0.3926095,0.40493983
1007.8813030850603,176304,0.3872992,0.4099216
1011.6767201456075,180900,0.38232374,0.41464484
1015.4679521797477,185413,0.3771553,0.4196089
1019.2549991874813,189003,0.37269378,0.4239418
1023.0378611688079,191009,0.3698867,0.42669082
1026.816538123728,193920,0.3643954,0.43212023
1030.591030052241,195494,0.3615924,0.43491822
1034.3613369543468,196825,0.35858953,0.43793583
1039.3819027827444,197085,0.35590455,0.4406517
1043.1424446232347,197572,0.35288146,0.44372976
1046.898801437318,197343,0.35152498,0.44511786
1050.6509732249947,196963,0.35019574,0.44648233
1054.3989599862643,196202,0.3497126,0.44697928
1058.142761721127,195440,0.3489509,0.44776392
1061.8823784295832,195250,0.34813875,0.44860205
1065.6178101116325,195054,0.34792086,0.44882715
1069.3490567672748,194064,0.3490982,0.44761208
1073.0761183965103,193585,0.34859496,0.44813105
1076.798994999339,193148,0.34979153,0.44689807
1081.7563204286998,192965,0.35103542,0.44561988
1085.4694319699124,192238,0.3525594,0.44405895
1089.1783584847185,191330,0.35474294,0.4418319
1092.8830999731176,191148,0.35626405,0.44028708
1096.5836564351096,190346,0.35804603,0.43848422
1100.280027870695,189589,0.36065015,0.43586284
1103.9722142798735,189194,0.3631734,0.43333784
1107.6602156626454,188593,0.36574325,0.43078122
1111.3440320190102,188048,0.36773157,0.42881346
1115.023663348968,186338,0.37234014,0.42428714
1118.6991096525194,185301,0.37592715,0.42079723
1122.3703709296637,183113,0.38229415,0.4146731
1127.2588759247787,179086,0.39327347,0.40432122
1130.920372140307,175248,0.40337175,0.39502832
1134.5776833294287,169542,0.41924664,0.38084948
1138.2308094921434,164028,0.4349589,0.36731705
1141.8797506284513,158398,0.4513596,0.35370433
1145.5245067383523,152484,0.4689795,0.3396413
1149.1650778218466,148188,0.48343667,0.32852113
1152.801463878934,145126,0.49498335,0.31990176
1156.4336649096144,144002,0.5007173,0.31570593
1160.0616809138883,143697,0.50449175,0.31297398
1163.6855118917551,143240,0.5093244,0.30951068
1168.5107764878335,144710,0.5098457,0.30913937
1172.1248424040843,145320,0.5123411,0.30736822
1175.7347232939285,146985,0.51227844,0.30741253
1179.3404191573657,147931,0.51472247,0.3056874
1182.941929994396,149727,0.5157716,0.30494982
1186.5392558050198,151565,0.517297,0.30388057
1190.1323965892364,153631,0.5189443,0.30273014
1193.7213523470464,155791,0.52027816,0.3018018
1197.3061230784492,158129,0.5214422,0.30099398
1200.8867087834456,161474,0.5201464,0.30189335
1204.463109462035,165062,0.51914924,0.30258733
1208.0353251142174,168110,0.51928824,0.3024905
1212.7917692760502,173212,0.5177233,0.30358246
