Wavelength,Intensity,Absorbance,Reflectance
1444.4113663422997,42072,1.3143374,0.048491165
1447.6906301460037,41836,1.3156798,0.04834151
1450.9657089233008,41697,1.3158431,0.048323337
1454.236602674191,41772,1.3138711,0.04854325
1458.5912843009673,41401,1.3157845,0.04832986
1461.8524129902416,42003,1.3078204,0.049224302
1465.109356653109,42458,1.3012749,0.04997181
1468.3621152895698,42519,1.2989942,0.050234936
1471.6106888996235,43760,1.2847981,0.05190412
1474.8550774832706,44602,1.2747062,0.053124372
1478.0952810405106,45296,1.2659702,0.054203797
1481.3312995713438,45722,1.2597982,0.054979637
1484.5631330757703,46774,1.2479278,0.0565031
1487.7907815537899,47497,1.2390728,0.057666976
1491.0142450054027,49032,1.2227014,0.059882317
1495.3056862331423,49845,1.2118756,0.061393786
1498.519384623139,50957,1.1995734,0.06315775
1501.7288979867292,51352,1.1934172,0.0640594
1504.9342263239123,52797,1.1781614,0.06634965
1508.1353696346887,54053,1.1649271,0.06840264
1511.332327919058,54737,1.1563308,0.06977008
1514.5251011770206,55783,1.1443884,0.071715266
1517.7136894085763,56946,1.1318896,0.073809184
1520.8980926137253,58114,1.1189984,0.0760329
1524.0783107924674,58963,1.1087567,0.077847265
1527.2543439448027,60000,1.0967392,0.08003148
1530.4261920707313,61027,1.0845376,0.08231186
1534.648812864225,62122,1.0704907,0.08501769
1537.8108959285375,62307,1.0644585,0.0862068
1540.9687939664432,63882,1.048544,0.08942437
1544.122506977942,63807,1.0432099,0.090529494
1547.272034963034,64971,1.029482,0.0934368
1550.417377921719,65600,1.0192018,0.09567494
1553.5585358539975,66175,1.0093645,0.09786682
1556.6955087598687,66489,1.000536,0.09987667
1559.8282966393335,67242,0.9884806,0.10268792
1562.9568994923911,67140,0.9820866,0.104210965
1566.0813173190422,67524,0.9723467,0.10657449
1569.2015501192864,67575,0.96400154,0.108642176
1573.3553504785345,67370,0.9541121,0.111144476
1576.4658182171627,67536,0.9452093,0.11344639
1579.5721009293839,67453,0.93731266,0.115528025
1582.6741986151983,66707,0.9331229,0.11664796
1585.772111274606,66574,0.9249113,0.1188745
1588.8658389076068,66020,0.9194156,0.12038834
1591.9553815142008,65846,0.910329,0.12293371
1595.0407390943878,65199,0.90448654,0.12459868
1598.1219116481682,64641,0.89821106,0.12641218
1601.1988991755416,63880,0.8928053,0.1279955
1604.2717016765082,62953,0.8881235,0.12938277
1608.3622616367197,62013,0.87900573,0.1321278
1611.4252990760704,60737,0.87681717,0.13279533
1614.4841514890143,60529,0.86681986,0.1358877
1617.5388188755512,59046,0.8651088,0.13642412
1620.5893012356814,58013,0.8605091,0.1378767
1623.6355985694047,56872,0.8566219,0.13911632
1626.6777108767212,55705,0.8534342,0.14014119
1629.7156381576308,54625,0.84912837,0.14153755
1632.7493804121336,53823,0.84257203,0.14369047
1635.7789376402295,52668,0.83800673,0.14520891
1638.8043098419187,51138,0.8368083,0.14561017
1641.825497017201,49814,0.83306473,0.14687073
1645.8472365431667,48294,0.8251224,0.1495814
1648.858658656833,46807,0.82125676,0.15091875
1651.8658957440925,45588,0.81306136,0.15379374
1654.8689478049453,43560,0.8101127,0.15484147
1657.867814839391,41433,0.80544364,0.15651514
1660.86249684743,39414,0.79694796,0.15960704
1663.8529938290621,36560,0.7956823,0.16007286
1666.8393057842875,33955,0.785463,0.16388418
1669.821432713106,30149,0.7855095,0.16386662
1672.7993746155175,26936,0.7744324,0.16809995
1675.7731314915225,23743,0.76216656,0.1729153
1678.7427033411204,20390,0.7554935,0.1755927
1682.6956224328403,16485,0.74623126,0.17937781
1685.6554292208225,13804,0.74574065,0.17958058
1688.6110509823975,11255,0.7592096,0.17409664
1691.562487717566,9418,0.7595515,0.17395963
1694.5097394263273,7833,0.767894,0.17064987
1697.4528061086821,6870,0.7569272,0.175014
1700.39168776463,6067,0.7433265,0.1805816
